GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	P36115	IRS4	GO:0016197		559292	IRS4,YKR019C	P
UniProtKB	P36115	IRS4	GO:0006897		559292	IRS4,YKR019C	P
UniProtKB	P36116	VPS51	GO:0042147		559292	VPS51,API3,VPS67,WHI6,YKR020W	P
UniProtKB	P36117	ALY1	GO:0070086		559292	ALY1,ART6,YKR021W	P
UniProtKB	P36117	ALY1	GO:0006897		559292	ALY1,ART6,YKR021W	P
UniProtKB	P36122	BCH2	GO:0006893		559292	BCH2,FMP50,YKR027W	P
UniProtKB	P36122	BCH2	GO:0006893		559292	BCH2,FMP50,YKR027W	P
UniProtKB	P36125	GMH1	GO:0016192		559292	GMH1,MSG1,YKR030W	P
UniProtKB	P36137	UIP5	GO:0006888		559292	UIP5,YKR044W	P
UniProtKB	P36149	BET3	GO:0006891		559292	BET3,YKR068C	P
UniProtKB	P36149	BET3	GO:0006888		559292	BET3,YKR068C	P
UniProtKB	P36149	BET3	GO:0048193		559292	BET3,YKR068C	P
UniProtKB	P36149	BET3	GO:0016192		559292	BET3,YKR068C	P
UniProtKB	P36149	BET3	GO:0006891		559292	BET3,YKR068C	P
UniProtKB	P36149	BET3	GO:0006888		559292	BET3,YKR068C	P
UniProtKB	P36149	BET3	GO:0006888		559292	BET3,YKR068C	P
UniProtKB	P36149	BET3	GO:0006888		559292	BET3,YKR068C	P
UniProtKB	P36158	YKR078W	GO:0042147		559292	YKR078W	P
UniProtKB	P36164	TVP38	GO:0016192		559292	TVP38,YKR088C,YKR408	P
UniProtKB	P36164	TVP38	GO:0016192		559292	TVP38,YKR088C,YKR408	P
UniProtKB	P37297	STT4	GO:0061909		559292	STT4,YLR305C,L2142.4	P
UniProtKB	P37370	VRP1	GO:0006897		559292	VRP1,END5,MDP2,YLR337C,L8300.13	P
UniProtKB	P37370	VRP1	GO:0006897		559292	VRP1,END5,MDP2,YLR337C,L8300.13	P
UniProtKB	P38041	BOI1	GO:0042147		559292	BOI1,BOB1,GIN7,YBL085W,YBL0717	P
UniProtKB	P38065	APL3	GO:0072583		559292	APL3,YBL037W,YBL0412	P
UniProtKB	P38065	APL3	GO:0140312		559292	APL3,YBL037W,YBL0412	F
UniProtKB	P38065	APL3	GO:0006898		559292	APL3,YBL037W,YBL0412	P
UniProtKB	P38065	APL3	GO:0035615		559292	APL3,YBL037W,YBL0412	F
UniProtKB	P38065	APL3	GO:0035615		559292	APL3,YBL037W,YBL0412	F
UniProtKB	P38065	APL3	GO:0016192		559292	APL3,YBL037W,YBL0412	P
UniProtKB	P38065	APL3	GO:0072583		559292	APL3,YBL037W,YBL0412	P
UniProtKB	P38065	APL3	GO:0006897		559292	APL3,YBL037W,YBL0412	P
UniProtKB	P38116	ARL1	GO:0016192		559292	ARL1,ARF3,YBR164C,YBR1216	P
UniProtKB	P38116	ARL1	GO:0016192		559292	ARL1,ARF3,YBR164C,YBR1216	P
UniProtKB	P38116	ARL1	GO:0016192		559292	ARL1,ARF3,YBR164C,YBR1216	P
UniProtKB	P38116	ARL1	GO:0006897		559292	ARL1,ARF3,YBR164C,YBR1216	P
UniProtKB	P38116	ARL1	GO:0043001		559292	ARL1,ARF3,YBR164C,YBR1216	P
UniProtKB	P38153	APM3	GO:0016192		559292	APM3,YKS6,YBR288C,YBR2035	P
UniProtKB	P38153	APM3	GO:0006897		559292	APM3,YKS6,YBR288C,YBR2035	P
UniProtKB	P38153	APM3	GO:0016192		559292	APM3,YKS6,YBR288C,YBR2035	P
UniProtKB	P38153	APM3	GO:0006896		559292	APM3,YKS6,YBR288C,YBR2035	P
UniProtKB	P38163	SRO77	GO:0006887		559292	SRO77,SNI2,SOP2,YBL106C,YBL0806	P
UniProtKB	P38163	SRO77	GO:0006893		559292	SRO77,SNI2,SOP2,YBL106C,YBL0806	P
UniProtKB	P38163	SRO77	GO:0006893		559292	SRO77,SNI2,SOP2,YBL106C,YBL0806	P
UniProtKB	P38163	SRO77	GO:0006887		559292	SRO77,SNI2,SOP2,YBL106C,YBL0806	P
UniProtKB	P38166	SFT2	GO:0016192		559292	SFT2,YBL102W,YBL0812	P
UniProtKB	P38166	SFT2	GO:0042147		559292	SFT2,YBL102W,YBL0812	P
UniProtKB	P38167	ECM21	GO:0070086		559292	ECM21,YBL101C,YBL0814	P
UniProtKB	P38167	ECM21	GO:0070086		559292	ECM21,YBL101C,YBL0814	P
UniProtKB	P38167	ECM21	GO:0070086		559292	ECM21,YBL101C,YBL0814	P
UniProtKB	P38167	ECM21	GO:0070086		559292	ECM21,YBL101C,YBL0814	P
UniProtKB	P38167	ECM21	GO:0070086		559292	ECM21,YBL101C,YBL0814	P
UniProtKB	P38167	ECM21	GO:0070086		559292	ECM21,YBL101C,YBL0814	P
UniProtKB	P38167	ECM21	GO:0070086		559292	ECM21,YBL101C,YBL0814	P
UniProtKB	P38167	ECM21	GO:0070086		559292	ECM21,YBL101C,YBL0814	P
UniProtKB	P38182	ATG8	GO:0006888		559292	ATG8,APG8,AUT7,CVT5,YBL078C,YBL0732	P
UniProtKB	P38182	ATG8	GO:0006888		559292	ATG8,APG8,AUT7,CVT5,YBL078C,YBL0732	P
UniProtKB	P38182	ATG8	GO:0006888		559292	ATG8,APG8,AUT7,CVT5,YBL078C,YBL0732	P
UniProtKB	P38212	RCR1	GO:0016192		559292	RCR1,YBR005W,YBR0111	P
UniProtKB	P38212	RCR1	GO:0016192		559292	RCR1,YBR005W,YBR0111	P
